"Sample";"Zr";"Nb";"Ni";"Fe";"Cr";"Fe+Cr";"Sn";"Mo";"Cu";"O2";"Si";"Tau. ч";"T.°C";"P";"Env";"Alloy ";"ln(K)"
"144 W";99.5000000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;4000;350;170;"water";"Zr-Nb";-5.7012153
"237 W";99.0000000;0.75000;0.00000;0.00000;0.25000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;2184;350;169;"water";"Zr-Nb";-5.6353025
"276 W";97.5000000;0.50000;0.00000;1.50000;0.00000;0.00000;0.00000;0.00000;0.50000;0.00000;0.00000;5000;350;170;"water";"Zr-Nb";-5.6193585
"164 W";99.0009995;0.33300;0.66600;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"water";"Zr-Nb";-5.5762691
"220 W";97.0000000;0.75000;0.00000;0.00000;2.25000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;2424;350;169;"water";"Zr-Nb";-5.5727758
"219 W";98.5000000;0.50000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"water";"Zr-Nb";-5.5214610
"143 W";99.0000000;0.50000;0.00000;0.00000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;2184;350;169;"water";"Zr-Nb";-5.4967055
"269 W";98.9000015;0.80000;0.00000;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.10000;0.00000;14400;360;186;"water";"Zr-Nb";-5.4109454
"222 W";95.0000000;1.25000;0.00000;0.00000;3.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;2424;350;169;"water";"Zr-Nb";-5.2400641
"282 W";98.9700012;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.83000;0.00000;0.00000;0.00000;2225;350;168;"water";"Zr-Nb";-4.6919775
"239 W";97.0000000;2.25000;0.00000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;2184;350;169;"water";"Zr-Nb";-4.5282178
"284 W";98.9000015;0.80000;0.00000;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.10000;0.00000;14400;400;103;"water";"Zr-Nb";-4.4920278
"231 W";95.0000000;2.50000;0.00000;0.00000;2.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;2184;350;169;"water";"Zr-Nb";-4.4312401
"240 W";96.0000000;3.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;2184;350;169;"water";"Zr-Nb";-4.1289473
"270 W";98.0000000;1.60000;0.00000;0.00000;0.00000;0.00000;0.00000;0.40000;0.00000;0.00000;0.00000;2225;350;168;"water";"Zr-Nb";-4.0506396
"241 W";95.0000000;3.75000;0.00000;0.00000;1.25000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;2184;350;169;"water";"Zr-Nb";-3.7550309
"283 W";98.0999985;0.40000;0.00000;0.00000;0.00000;0.00000;0.00000;1.50000;0.00000;0.00000;0.00000;960;350;168;"water";"Zr-Nb";-3.0038905
"280 W";95.0000000;2.50000;0.00000;0.00000;0.00000;0.00000;0.00000;2.50000;0.00000;0.00000;0.00000;720;350;168;"water";"Zr-Nb";-2.9133844
"271 W";97.0000000;2.40000;0.00000;0.00000;0.00000;0.00000;0.00000;0.60000;0.00000;0.00000;0.00000;720;350;168;"water";"Zr-Nb";-2.7395840
"273 W";95.0000000;4.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;720;350;168;"water";"Zr-Nb";-2.7350788
"272 W";95.9300003;3.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.87000;0.00000;0.00000;0.00000;720;350;168;"water";"Zr-Nb";-2.2164073
"128 W";99.2300034;0.64000;0.00000;0.00000;0.00000;0.00000;0.00000;0.13000;0.00000;0.00000;0.00000;240;350;168;"water";"Zr-Nb";-2.1715567
"279 W";95.9800034;2.00000;0.00000;0.00000;0.00000;0.00000;0.00000;2.02000;0.00000;0.00000;0.00000;240;350;168;"water";"Zr-Nb";-1.6296406
"135 W";99.4599991;0.12000;0.00000;0.00000;0.00000;0.00000;0.00000;0.42000;0.00000;0.00000;0.00000;240;350;168;"water";"Zr-Nb";-1.5750365
"130 W";99.5899963;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.21000;0.00000;0.00000;0.00000;240;350;168;"water";"Zr-Nb";-1.4396951
"127 W";99.4000015;0.48000;0.00000;0.00000;0.00000;0.00000;0.00000;0.12000;0.00000;0.00000;0.00000;240;350;168;"water";"Zr-Nb";-1.4064971
"134 W";99.5999985;0.08000;0.00000;0.00000;0.00000;0.00000;0.00000;0.32000;0.00000;0.00000;0.00000;240;350;168;"water";"Zr-Nb";-1.3432349
"126 W";99.5800018;0.32000;0.00000;0.00000;0.00000;0.00000;0.00000;0.10000;0.00000;0.00000;0.00000;240;350;168;"water";"Zr-Nb";-1.1254698
"125 W";99.7799988;0.16000;0.00000;0.00000;0.00000;0.00000;0.00000;0.06000;0.00000;0.00000;0.00000;240;350;168;"water";"Zr-Nb";-1.0668714
"133 W";99.8000031;0.04000;0.00000;0.00000;0.00000;0.00000;0.00000;0.16000;0.00000;0.00000;0.00000;240;350;168;"water";"Zr-Nb";-1.0051219
"129 W";99.7900009;0.10000;0.00000;0.00000;0.00000;0.00000;0.00000;0.11000;0.00000;0.00000;0.00000;240;350;168;"water";"Zr-Nb";-0.6462636
"57 W";98.6999969;0.50000;0.00000;0.00000;0.00000;0.00000;0.20000;0.50000;0.00000;0.00000;0.10000;3890;350;170;"water";"Zr-Nb-Sn";-9.4334841
"52 W";99.0000000;0.50000;0.00000;0.00000;0.00000;0.00000;0.20000;0.20000;0.00000;0.00000;0.10000;3890;350;168;"water";"Zr-Nb-Sn";-8.2548285
"55 W";98.6999969;0.50000;0.00000;0.00000;0.10000;0.00000;0.20000;0.50000;0.00000;0.00000;0.00000;3890;350;170;"water";"Zr-Nb-Sn";-8.0164175
"200 W";99.0999985;0.50000;0.00000;0.00000;0.00000;0.00000;0.20000;0.20000;0.00000;0.00000;0.00000;3890;350;168;"water";"Zr-Nb-Sn";-7.8753395
"54 W";98.8000031;0.50000;0.00000;0.00000;0.00000;0.00000;0.20000;0.50000;0.00000;0.00000;0.00000;3890;350;168;"water";"Zr-Nb-Sn";-7.5811000
"61 W";99.0000000;0.50000;0.00000;0.00000;0.00000;0.00000;0.30000;0.20000;0.00000;0.00000;0.00000;3890;350;168;"water";"Zr-Nb-Sn";-7.5239415
"202 W";99.0999985;0.50000;0.00000;0.00000;0.00000;0.00000;0.20000;0.20000;0.00000;0.00000;0.00000;3890;350;168;"water";"Zr-Nb-Sn";-7.3979616
"325 W";97.3649979;1.00000;0.00000;0.00000;0.00000;0.35000;1.20000;0.00000;0.00000;0.08500;0.00000;3600;360;186;"water";"Zr-Nb-Sn";-7.2723985
"60 W";98.8000031;0.50000;0.00000;0.00000;0.00000;0.00000;0.20000;0.50000;0.00000;0.00000;0.00000;3890;350;168;"water";"Zr-Nb-Sn";-7.1434774
"328 W";97.8099976;0.60000;0.00000;0.30000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;14400;360;186;"water";"Zr-Nb-Sn";-7.1326365
"59 W";99.0000000;0.50000;0.00000;0.00000;0.10000;0.00000;0.20000;0.20000;0.00000;0.00000;0.00000;3890;350;170;"water";"Zr-Nb-Sn";-7.1308990
"58 W";98.6999969;0.50000;0.00000;0.00000;0.00000;0.00000;0.20000;0.50000;0.00000;0.00000;0.10000;3890;350;168;"water";"Zr-Nb-Sn";-7.0940847
"312 W";97.3649979;1.00000;0.00000;0.00000;0.00000;0.35000;1.20000;0.00000;0.00000;0.08500;0.00000;7200;360;186;"water";"Zr-Nb-Sn";-7.0737114
"315 W";97.3649979;1.00000;0.00000;0.00000;0.00000;0.35000;1.20000;0.00000;0.00000;0.08500;0.00000;3600;360;186;"water";"Zr-Nb-Sn";-6.9663854
"304 W";99.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;0.33000;0.00000;0.67000;0.00000;0.00000;3000;350;168;"water";"Zr-Nb-Sn";-6.9359260
"323 W";97.1100006;1.00000;0.00000;0.60000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;7200;360;186;"water";"Zr-Nb-Sn";-6.9359260
"327 W";97.3099976;0.70000;0.00000;0.60000;0.00000;0.00000;1.30000;0.00000;0.00000;0.09000;0.00000;14400;360;186;"water";"Zr-Nb-Sn";-6.9077554
"319 W";98.2099991;0.60000;0.00000;0.30000;0.00000;0.00000;0.80000;0.00000;0.00000;0.09000;0.00000;14400;360;186;"water";"Zr-Nb-Sn";-6.8803563
"172 W";97.3099976;1.00000;0.00000;0.40000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;14400;360;186;"water";"Zr-Nb-Sn";-6.8621445
"300 W";97.6100006;1.00000;0.00000;0.10000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;14400;360;186;"water";"Zr-Nb-Sn";-6.8228526
"330 W";97.4100037;1.20000;0.00000;0.50000;0.00000;0.00000;0.80000;0.00000;0.00000;0.09000;0.00000;14400;360;186;"water";"Zr-Nb-Sn";-6.8023949
"303 W";97.3649979;1.00000;0.00000;0.00000;0.00000;0.35000;1.20000;0.00000;0.00000;0.08500;0.00000;7200;360;186;"water";"Zr-Nb-Sn";-6.7041345
"320 W";97.7099991;0.70000;0.00000;0.30000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;14400;360;186;"water";"Zr-Nb-Sn";-6.6957850
"229 W";97.6100006;1.00000;0.00000;0.10000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;14400;400;103;"water";"Zr-Nb-Sn";-6.2401137
"238 W";97.8000031;1.50000;0.00000;0.20000;0.10000;0.00000;0.40000;0.00000;0.00000;0.00000;0.00000;3601;360;186;"water";"Zr-Nb-Sn";-5.4262133
"221 W";97.3099976;1.00000;0.00000;0.40000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;14400;400;103;"water";"Zr-Nb-Sn";-5.2983174
"230 W";97.8000031;1.50000;0.00000;0.20000;0.10000;0.00000;0.40000;0.00000;0.00000;0.00000;0.00000;2881;360;186;"water";"Zr-Nb-Sn";-4.8928523
"277 W";97.1100006;1.00000;0.00000;0.60000;0.00000;0.00000;1.20000;0.00000;0.00000;0.09000;0.00000;14400;360;186;"water";"Zr-Nb-Sn";-4.2493048
"278 W";97.8000031;1.50000;0.00000;0.20000;0.10000;0.00000;0.40000;0.00000;0.00000;0.00000;0.00000;2161;360;186;"water";"Zr-Nb-Sn";-2.8101752
"131 W";98.0999985;0.30000;0.00000;0.20000;0.10000;0.00000;1.30000;0.00000;0.00000;0.00000;0.00000;721;360;186;"water";"Zr-Nb-Sn";-2.4626560
"148 W";98.1299973;0.00000;0.00000;0.21000;0.10000;0.00000;1.45000;0.00000;0.00000;0.11000;0.00000;9024;360;186;"water";"Zr-Sn";-7.4742699
"69 W";96.8000031;0.00000;0.00000;0.20000;0.00000;0.00000;1.50000;0.00000;1.50000;0.00000;0.00000;4000;350;168;"water";"Zr-Sn";-7.3950505
"76 W";98.1299973;0.00000;0.00000;0.21000;0.10000;0.00000;1.45000;0.00000;0.00000;0.11000;0.00000;7526;360;186;"water";"Zr-Sn";-7.3495879
"77 W";98.1299973;0.00000;0.00000;0.00000;0.00000;0.31000;1.45000;0.00000;0.00000;0.11000;0.00000;7200;360;186;"water";"Zr-Sn";-7.3276091
"83 W";98.1299973;0.00000;0.00000;0.21000;0.10000;0.00000;1.45000;0.00000;0.00000;0.11000;0.00000;1368;360;186;"water";"Zr-Sn";-7.2244248
"74 W";98.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;1.60000;0.00000;0.40000;0.00000;0.00000;3000;350;168;"water";"Zr-Sn";-7.2166123
"82 W";98.1299973;0.00000;0.00000;0.21000;0.10000;0.00000;1.45000;0.00000;0.00000;0.11000;0.00000;4512;400;250;"water";"Zr-Sn";-7.2050071
"80 W";98.1299973;0.00000;0.00000;0.21000;0.10000;0.00000;1.45000;0.00000;0.00000;0.11000;0.00000;3984;400;250;"water";"Zr-Sn";-7.1859584
"78 W";98.1299973;0.00000;0.00000;0.00000;0.00000;0.31000;1.45000;0.00000;0.00000;0.11000;0.00000;7200;360;186;"water";"Zr-Sn";-7.1489172
"152 W";98.1299973;0.00000;0.00000;0.21000;0.10000;0.00000;1.45000;0.00000;0.00000;0.11000;0.00000;3504;360;186;"water";"Zr-Sn";-7.0791368
"70 W";96.8000031;0.00000;0.10000;0.00000;0.10000;0.00000;1.50000;0.00000;1.50000;0.00000;0.00000;4000;350;168;"water";"Zr-Sn";-7.0291162
"81 W";98.1299973;0.00000;0.00000;0.00000;0.00000;0.31000;1.45000;0.00000;0.00000;0.11000;0.00000;3600;360;186;"water";"Zr-Sn";-7.0131159
"84 W";98.1299973;0.00000;0.00000;0.21000;0.10000;0.00000;1.45000;0.00000;0.00000;0.11000;0.00000;1488;400;250;"water";"Zr-Sn";-6.9515581
"79 W";98.1299973;0.00000;0.00000;0.00000;0.00000;0.31000;1.45000;0.00000;0.00000;0.11000;0.00000;3600;360;186;"water";"Zr-Sn";-6.9221439
"64 W";98.1299973;0.00000;0.00000;0.00000;0.00000;0.31000;1.45000;0.00000;0.00000;0.11000;0.00000;3600;360;186;"water";"Zr-Sn";-6.9077554
"85 W";96.9000015;0.00000;0.10000;0.00000;0.00000;0.00000;1.50000;0.00000;1.50000;0.00000;0.00000;2000;350;168;"water";"Zr-Sn";-6.8521852
"62 W";98.1299973;0.00000;0.00000;0.21000;0.10000;0.00000;1.45000;0.00000;0.00000;0.11000;0.00000;14400;360;186;"water";"Zr-Sn";-6.8281522
"75 W";97.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;1.50000;0.00000;1.50000;0.00000;0.00000;3000;350;168;"water";"Zr-Sn";-6.8124452
"90 W";96.6999969;0.00000;0.00000;0.20000;0.10000;0.00000;1.50000;0.00000;1.50000;0.00000;0.00000;4000;350;168;"water";"Zr-Sn";-6.7254338
"71 W";96.9000015;0.00000;0.00000;0.00000;0.10000;0.00000;1.50000;0.00000;1.50000;0.00000;0.00000;1500;350;168;"water";"Zr-Sn";-6.7254338
"86 W";97.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;1.50000;0.00000;1.50000;0.00000;0.00000;1000;350;168;"water";"Zr-Sn";-6.6789136
"151 W";98.1299973;0.00000;0.00000;0.21000;0.10000;0.00000;1.45000;0.00000;0.00000;0.11000;0.00000;8592;360;186;"water";"Zr-Sn";-6.6377282
"122 W";98.1299973;0.00000;0.00000;0.21000;0.10000;0.00000;1.45000;0.00000;0.00000;0.11000;0.00000;1488;400;250;"water";"Zr-Sn";-6.6282315
"119 W";97.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;2.00000;0.00000;1.00000;0.00000;0.00000;3000;350;168;"water";"Zr-Sn";-6.4923396
"67 W";98.1299973;0.00000;0.00000;0.00000;0.00000;0.31000;1.45000;0.00000;0.00000;0.11000;0.00000;7200;360;186;"water";"Zr-Sn";-6.3940768
"147 W";96.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;1.33000;0.00000;2.67000;0.00000;0.00000;1740;350;168;"water";"Zr-Sn";-5.9062047
"100 W";97.6999969;0.00000;0.10000;0.20000;0.00000;0.00000;0.67000;0.00000;1.33000;0.00000;0.00000;4000;350;168;"water";"Zr-Sn";-5.8102546
"73 W";96.6999969;0.00000;0.10000;0.20000;0.00000;0.00000;1.50000;0.00000;1.50000;0.00000;0.00000;4000;350;168;"water";"Zr-Sn";-5.8091431
"110 W";98.7799988;0.00000;0.00000;0.21000;0.10000;0.00000;0.80000;0.00000;0.00000;0.11000;0.00000;8568;360;186;"water";"Zr-Sn";-4.7228284
"109 W";98.0000000;0.00000;0.00000;0.00000;0.00000;0.00000;1.33000;0.00000;0.67000;0.00000;0.00000;3000;350;168;"water";"Zr-Sn";-4.3954496
